filename,label,mean_complexity,std_complexity,min_complexity,max_complexity,complexity_range,mean_leaf_area,std_leaf_area,leaf_count,mean_boundary_delta,max_boundary_delta,mean_depth,std_depth
0000 (10).jpg,real,1.0,0.0,1.0,1.0,0.0,64.0,0.0,16,0.0013020833333333259,0.00651041666666663,2.0,0.0
0000 (2).jpg,real,0.9931640625,0.020728802701735643,0.9166666666666666,1.0,0.08333333333333337,64.0,0.0,16,0.0119140625,0.07161458333333337,2.0,0.0
0000 (3).jpg,real,0.9912109375,0.018295892573432813,0.9375,1.0,0.0625,64.0,0.0,16,0.019986979166666658,0.08072916666666663,2.0,0.0
0000 (4).jpg,real,1.0,0.0,1.0,1.0,0.0,64.0,0.0,16,0.017252604166666678,0.03841145833333337,2.0,0.0
0000 (5).jpg,real,0.9869791666666666,0.022173680163966675,0.9166666666666666,1.0,0.08333333333333337,64.0,0.0,16,0.08313802083333333,0.1171875,2.0,0.0
0000 (6).jpg,real,0.9951171875,0.012140661587872074,0.9583333333333334,1.0,0.04166666666666663,64.0,0.0,16,0.011263020833333337,0.04166666666666663,2.0,0.0
0000 (7).jpg,real,0.9983723958333334,0.006303683831717792,0.9739583333333334,1.0,0.02604166666666663,64.0,0.0,16,0.016471354166666667,0.0478515625,2.0,0.0
0000 (8).jpg,real,0.9775390625,0.049742949207123646,0.8125,1.0,0.1875,64.0,0.0,16,0.03216145833333332,0.16276041666666663,2.0,0.0
0000 (9).jpg,real,0.9130859375,0.18810231987036774,0.40625,1.0,0.59375,64.0,0.0,16,0.10670572916666665,0.3984375,2.0,0.0
0000.jpg,real,0.9521484375,0.049039257075711905,0.8697916666666666,1.0,0.13020833333333337,64.0,0.0,16,0.06236979166666663,0.1484375,2.0,0.0
0001 (10).jpg,real,1.0,0.0,1.0,1.0,0.0,64.0,0.0,16,0.006510416666666663,0.01953125,2.0,0.0
0001 (2).jpg,real,0.9996744791666666,0.001260736766343569,0.9947916666666666,1.0,0.00520833333333337,64.0,0.0,16,0.0022786458333333426,0.01009114583333337,2.0,0.0
0001 (3).jpg,real,0.984375,0.02623625218699203,0.90625,1.0,0.09375,64.0,0.0,16,0.030371093749999988,0.10807291666666663,2.0,0.0
0001 (4).jpg,real,0.9954427083333334,0.012197261715621863,0.9583333333333334,1.0,0.04166666666666663,64.0,0.0,16,0.037109375000000014,0.0859375,2.0,0.0
0001 (5).jpg,real,0.9895833333333333,0.020587745183387896,0.9322916666666666,1.0,0.06770833333333337,64.0,0.0,16,0.042773437500000004,0.12109375,2.0,0.0
0001 (6).jpg,real,0.9967447916666666,0.01260736766343561,0.9479166666666666,1.0,0.05208333333333337,64.0,0.0,16,0.0026041666666666687,0.05208333333333337,2.0,0.0
0001 (7).jpg,real,0.9990234375,0.0037822102990306807,0.984375,1.0,0.015625,64.0,0.0,16,0.017968749999999995,0.05078125,2.0,0.0
0001 (8).jpg,real,0.9957682291666666,0.01638957796246629,0.9322916666666666,1.0,0.06770833333333337,64.0,0.0,16,0.0185546875,0.06640625,2.0,0.0
0001 (9).jpg,real,0.9817708333333333,0.03565902067090925,0.8958333333333334,1.0,0.10416666666666663,64.0,0.0,16,0.01949869791666667,0.09765625,2.0,0.0
